Legajo,PUNTAJE PP,PUNTAJE SP
46884131,56.0,44.0
48271564,87.5,97.0
37476212,41.9,90.0
96294942,40.5,Ausente
12023600,Ausente,Ausente
42475040,41.5,11.0
42297983,Ausente,Ausente
47708222,54.0,50.5
47819173,Ausente,Ausente
47987961,82.0,81.0
46847261,0.0,2.0
48452170,Ausente,Ausente
43926854,Ausente,Ausente
43926854,Ausente,Ausente
34440086,Ausente,Ausente
45593268,76.0,81.0
46888482,34.5,9.0
45536607,Ausente,Ausente
44954191,Ausente,Ausente
95342463,Ausente,Ausente
38269080,Ausente,Ausente
46846460,Ausente,17.0
41965051,Ausente,Ausente
47473114,32.0,39.0
40573803,3.5,Ausente
46508531,17.9,Ausente
31931982,90.0,79.0
44657276,29.9,48.0
44577705,Ausente,Ausente
44921552,63.9,84.0
46372765,Ausente,Ausente
43497359,Ausente,Ausente
42071280,Ausente,Ausente
45690585,Ausente,Ausente
44767829,Ausente,Ausente
46198141,Ausente,Ausente
46707506,Ausente,Ausente
23794057,Ausente,Ausente
45325131,Ausente,Ausente
42160469,Ausente,Ausente
36139851,Ausente,Ausente
46691428,Ausente,Ausente
43811793,Ausente,Ausente
46530376,Ausente,Ausente
46221702,Ausente,Ausente
45971032,22.6,9.0
200274467,Ausente,Ausente
48068066,Ausente,Ausente
46031901,Ausente,Ausente
46034405,Ausente,Ausente
47369912,Ausente,Ausente
38339332,24.0,Ausente
47266177,Ausente,Ausente
45983401,Ausente,Ausente
32635636,Ausente,Ausente
41032850,Ausente,Ausente
50330656,30.9,Ausente
38986092,Ausente,Ausente
45242858,Ausente,Ausente
41042579,Ausente,Ausente
46850842,Ausente,Ausente
42109383,Ausente,Ausente
44673820,Ausente,Ausente
22796285,Ausente,Ausente
45594663,52.5,Ausente
46655801,18.0,42.0
39058403,Ausente,Ausente
47582242,Ausente,Ausente
42078819,24.4,Ausente
44688414,Ausente,Ausente
198661768,Ausente,Ausente
48742884,10.0,6.0
46489540,69.5,71.5
47578737,13.0,0.0
41962941,Ausente,Ausente
47263976,Ausente,Ausente
43156757,Ausente,Ausente
40525331,7.4,31.0
34070973,Ausente,Ausente
42303938,Ausente,Ausente
48455345,42.0,65.0
46766986,87.0,85.0
44851137,89.0,Ausente
48070371,Ausente,Ausente
38000836,Ausente,Ausente
46507766,22.5,Ausente
FW705148,Ausente,Ausente
46412217,Ausente,Ausente
45703499,6.4,Ausente
47000929,Ausente,Ausente
39620163,Ausente,Ausente
47722509,Ausente,Ausente
43927710,Ausente,Ausente
38502417,Ausente,Ausente
45692363,Ausente,Ausente
47662462,Ausente,Ausente
40246621,Ausente,Ausente
48278023,40.0,Ausente
45083761,Ausente,Ausente
43938772,Ausente,Ausente
44274864,Ausente,Ausente
48726919,Ausente,Ausente
38785510,Ausente,Ausente
46707687,Ausente,Ausente
44767908,Ausente,Ausente
47820280,Ausente,Ausente
42259296,Ausente,Ausente
48689159,Ausente,Ausente
33894249,Ausente,Ausente
45459367,Ausente,Ausente
47350897,Ausente,Ausente
94623168,Ausente,Ausente
47817403,0.0,20.0
47473373,17.5,11.0
46127371,Ausente,0.0
48600713,Ausente,8.0
48069704,5.0,2.0
38003269,Ausente,Ausente
48517552,73.0,60.5
46222024,Ausente,Ausente
47428857,19.0,Ausente
42053124,35.0,Ausente
36119321,Ausente,Ausente
21629735,Ausente,Ausente
39623794,Ausente,Ausente
45155256,Ausente,Ausente
47819380,29.0,0.0
24629690,32.0,0.0
32281558,21.0,8.0
200304026,Ausente,Ausente
42637570,Ausente,Ausente
37733720,40.0,37.0
46031650,Ausente,Ausente
37314910,54.0,52.0
47364874,81.0,88.0
42968347,77.0,72.5
45794072,Ausente,Ausente
41440528,64.0,60.5
48754567,Ausente,Ausente
42019905,Ausente,Ausente
36142354,43.0,Ausente
47266482,49.0,37.0
37828877,Ausente,Ausente
199705835,Ausente,Ausente
47983011,36.0,Ausente
43366772,Ausente,Ausente
42982152,Ausente,Ausente
42438748,Ausente,Ausente
46592199,Ausente,Ausente
39056741,Ausente,Ausente
45328379,Ausente,Ausente
45792245,Ausente,Ausente
94170911,Ausente,Ausente
46708135,Ausente,Ausente
48055386,Ausente,Ausente
32892731,Ausente,Ausente
47668096,Ausente,Ausente
47304648,Ausente,Ausente
46709997,Ausente,Ausente
48449629,Ausente,Ausente
47578338,Ausente,Ausente
43388940,Ausente,Ausente
31557411,Ausente,Ausente
47305342,Ausente,Ausente
47591360,Ausente,Ausente
46509758,Ausente,Ausente
48123527,48.0,40.0
47577732,Ausente,Ausente
29217120,Ausente,Ausente
46453803,Ausente,Ausente
43940297,Ausente,Ausente
47484082,Ausente,Ausente
46128926,Ausente,Ausente
48329797,Ausente,Ausente
46309754,11.0,Ausente
46884695,87.0,71.0
8411761,Ausente,Ausente
44719353,Ausente,Ausente
47953032,Ausente,Ausente
94740801,32.0,Ausente
48004124,47.0,2.0
41270396,Ausente,Ausente
43806734,Ausente,Ausente
29497468,Ausente,Ausente
48455041,82.0,66.0
48599366,Ausente,0.0
41408933,Ausente,Ausente
40249204,Ausente,Ausente
48070820,67.0,95.0
41736286,Ausente,Ausente
39888888,Ausente,Ausente
48330903,Ausente,Ausente
24193313,Ausente,Ausente
46452944,60.0,58.0
42052570,Ausente,Ausente
200108597,Ausente,Ausente
44970457,Ausente,Ausente
44828736,Ausente,Ausente
45350457,Ausente,Ausente
46708830,17.0,19.0
47837948,72.0,73.5
44475091,72.0,73.0
46452099,13.0,Ausente
46973883,41.0,33.0
41569917,Ausente,Ausente
45933183,Ausente,Ausente
47823669,Ausente,Ausente
47031764,Ausente,Ausente
45888626,Ausente,Ausente
47780072,Ausente,Ausente
43813623,Ausente,Ausente
44694317,Ausente,Ausente
47621159,89.0,97.0
32607006,76.0,95.0
43427794,Ausente,Ausente
44828781,Ausente,Ausente
44347670,Ausente,Ausente
48449627,Ausente,Ausente
199600890,29.0,Ausente
45933316,Ausente,Ausente
47578478,Ausente,Ausente
40274427,Ausente,Ausente
45690260,21.0,Ausente
47462960,Ausente,Ausente
55005892,Ausente,Ausente
45154395,Ausente,Ausente
39474512,Ausente,Ausente
44578407,89.0,Ausente
198444207,Ausente,Ausente
47428857,19.0,Ausente
46372550,Ausente,Ausente
47663310,Ausente,Ausente
